type,subtype,label,sub_type,timestamp,Monitoring_type,findings,content,assessment_type,results,movement_type,destination,enforcement_type,outcome,activity_type,participants,thing_collected,reference,date,time,friendship_type,permission_type,start_date,end_date,report_type,submission_date,jurisdiction_type,authority_level,coordination_type,operational_role
Event,Monitoring,Monitoring,Event_Monitoring_0,1/10/40 08:09,miscellaneous monitoring,A pod of dolphins was spotted near the eastern point this morning. They were playful. Migratory birds are starting to arrive.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_33,1/10/40 10:48,miscellaneous monitoring,"Increased tourism vessel activity near protected areas, specifically Nemo Reef.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_38,,surveillance,increased vessel activity at Nemo Reef,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_60,1/10/40 11:40,surveillance,"Increased tourism vessel activity near protected areas, especially around Nemo Reef",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_68,1/10/40 12:34,patrol activity,Increased tourism vessel activity near Nemo Reef. Inconsistent enforcement noted. Water quality report to be sent separately.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_71,1/10/40 12:37,patrol activity,"Increased tourism activity near protected areas, particularly Nemo Reef. Coordination with Sentinel on western boundary requested. Extra patrols needed for two weeks.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_73,1/10/40 12:39,patrol activity,"Increased tourism near Nemo Reef. Horizon monitoring eastern boundary, Sentinel taking western boundary.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_74,1/10/40 12:39,patrol activity,Increased tourism reported near Nemo Reef. Horizon will monitor eastern boundary while Sentinel takes western boundary. Will document violations and compare notes at 1800 hours.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_77,1/10/40 12:40,patrol activity,Three tourism vessels approaching Nemo Reef's protected zones in the last hour,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_83,1/10/40 12:44,patrol activity,Multiple tourism vessels crossing protected zones around Nemo Reef's southern boundary,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_105,2/10/40 09:59,miscellaneous monitoring,Multiple protected zone violations at Nemo Reef,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_129,2/10/40 12:16,surveillance,Three vessels (two commercial and one private yacht) repeatedly circling Nemo Reef. Permit application filed by Rodriguez from 'Sailor Shifts Team' requesting access for 'environmental sampling'.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_133,2/10/40 12:22,surveillance,"Rodriguez is connected to a mining consortium with previous violations in protected areas. Their equipment appears designed for core sampling, not environmental research.",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_148,1/10/40 00:00,miscellaneous monitoring,Request for information about tourism vessels approaching Nemo Reef for conservation monitoring purposes,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_164,3/10/40 08:35,patrol activity,Increasing patrol frequency around Nemo Reef after reports of tourism vessels offering unauthorized access.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_168,3/10/40 08:39,patrol activity,Increased patrols around Nemo Reef due to reports of tourism vessels offering unauthorized access for payment,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_173,3/10/40 08:44,patrol activity,Five unauthorized tourism vessels near Nemo Reef. Concerning pattern emerging. Some operators may be attempting to circumvent restrictions.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_192,3/10/40 09:12,surveillance,Observed Mariner's Dream making suspicious approaches to restricted areas. Sentinel is moving to intercept.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_208,3/10/40 10:02,surveillance,Additional night-vision equipment will be brought for 24-hour surveillance. Setup will take approximately 60 minutes. Patterns in unauthorized entries are being investigated.,,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_232,3/10/40 10:38,patrol activity,"Northern Light vessel reports uneven enforcement, claiming tourism boats enter restricted zones without consequences while commercial vessels are fined for minor infractions",,,,,,,,,,,,,,,,,,,,,,,
Event,Monitoring,Monitoring,Event_Monitoring_243,4/10/40 08:03,surveillance,Mako vessel approaching Nemo Reef protected area with conservation boats following them,,,,,,,,,,,,,,,,,,,,,,,
